{'t': 1133, 'cum_reward': 1394.0}
{'t': 3167, 'cum_reward': 1243.0}
{'t': 4042, 'cum_reward': 1068.0}
{'t': 4374, 'cum_reward': 929.0}
{'t': 7611, 'cum_reward': 2073.0}
{'t': 8855, 'cum_reward': 1899.0}
{'t': 9051, 'cum_reward': 592.0}
{'t': 10122, 'cum_reward': 1316.0}
{'t': 14106, 'cum_reward': 927.0}
{'t': 18197, 'cum_reward': 2056.0}
{'t': 19600, 'cum_reward': 817.0}
{'t': 20658, 'cum_reward': 968.0}
{'t': 24407, 'cum_reward': 1707.0}
{'t': 27921, 'cum_reward': 1960.0}
{'t': 29007, 'cum_reward': 1354.0}
{'t': 29933, 'cum_reward': 1344.0}
{'t': 32906, 'cum_reward': 1777.0}
{'t': 34276, 'cum_reward': 1419.0}
{'t': 36421, 'cum_reward': 1456.0}
{'t': 40599, 'cum_reward': 1391.0}
{'t': 41678, 'cum_reward': 1310.0}
{'t': 42219, 'cum_reward': 1129.0}
{'t': 44804, 'cum_reward': 3162.0}
{'t': 46289, 'cum_reward': 948.0}
{'t': 47155, 'cum_reward': 1331.0}
{'t': 47892, 'cum_reward': 1524.0}
{'t': 48765, 'cum_reward': 1837.0}
{'t': 50811, 'cum_reward': 1085.0}
{'t': 50944, 'cum_reward': 656.0}
{'t': 51432, 'cum_reward': 1405.0}
{'t': 52889, 'cum_reward': 2566.0}
{'t': 53385, 'cum_reward': 1067.0}
{'t': 55244, 'cum_reward': 2266.0}
{'t': 56104, 'cum_reward': 1846.0}
{'t': 57978, 'cum_reward': 2069.0}
{'t': 59053, 'cum_reward': 1913.0}
{'t': 60192, 'cum_reward': 1968.0}
{'t': 60959, 'cum_reward': 1560.0}
{'t': 62963, 'cum_reward': 2532.0}
{'t': 63292, 'cum_reward': 912.0}
{'t': 63516, 'cum_reward': 477.0}
{'t': 65398, 'cum_reward': 2105.0}
{'t': 66278, 'cum_reward': 1287.0}
{'t': 67811, 'cum_reward': 1409.0}
{'t': 68929, 'cum_reward': 1560.0}
{'t': 70711, 'cum_reward': 1966.0}
{'t': 73113, 'cum_reward': 2791.0}
{'t': 76637, 'cum_reward': 1977.0}
{'t': 77741, 'cum_reward': 1671.0}
{'t': 78448, 'cum_reward': 962.0}
{'t': 81586, 'cum_reward': 2869.0}
{'t': 84016, 'cum_reward': 1635.0}
{'t': 85384, 'cum_reward': 1853.0}
{'t': 87655, 'cum_reward': 2650.0}
{'t': 90722, 'cum_reward': 3125.0}
{'t': 91460, 'cum_reward': 1438.0}
{'t': 93044, 'cum_reward': 1748.0}
{'t': 95354, 'cum_reward': 1909.0}
{'t': 99477, 'cum_reward': 2802.0}
{'t': 102128, 'cum_reward': 1201.0}
{'t': 104104, 'cum_reward': 784.0}
{'t': 104316, 'cum_reward': 606.0}
{'t': 104805, 'cum_reward': 899.0}
{'t': 105122, 'cum_reward': 931.0}
{'t': 106017, 'cum_reward': 1568.0}
{'t': 106968, 'cum_reward': 1465.0}
{'t': 109308, 'cum_reward': 1373.0}
{'t': 112131, 'cum_reward': 1789.0}
{'t': 113897, 'cum_reward': 1727.0}
{'t': 117318, 'cum_reward': 1242.0}
{'t': 119109, 'cum_reward': 1848.0}
{'t': 120199, 'cum_reward': 1301.0}
{'t': 121368, 'cum_reward': 1776.0}
{'t': 122609, 'cum_reward': 2068.0}
{'t': 123914, 'cum_reward': 1826.0}
{'t': 124118, 'cum_reward': 1020.0}
{'t': 126600, 'cum_reward': 1795.0}
{'t': 128368, 'cum_reward': 2129.0}
{'t': 130508, 'cum_reward': 1170.0}
{'t': 131143, 'cum_reward': 1725.0}
{'t': 132584, 'cum_reward': 1933.0}
{'t': 133563, 'cum_reward': 2272.0}
{'t': 134735, 'cum_reward': 1830.0}
{'t': 135579, 'cum_reward': 1669.0}
{'t': 137903, 'cum_reward': 2441.0}
{'t': 138524, 'cum_reward': 1087.0}
{'t': 138688, 'cum_reward': 594.0}
{'t': 140704, 'cum_reward': 1950.0}
{'t': 142040, 'cum_reward': 1511.0}
{'t': 143047, 'cum_reward': 1538.0}
{'t': 144349, 'cum_reward': 1468.0}
{'t': 145682, 'cum_reward': 2295.0}
{'t': 147652, 'cum_reward': 1940.0}
{'t': 150658, 'cum_reward': 3039.0}
{'t': 151232, 'cum_reward': 1609.0}
{'t': 153768, 'cum_reward': 2900.0}
{'t': 154647, 'cum_reward': 1334.0}
{'t': 156765, 'cum_reward': 2018.0}
{'t': 157818, 'cum_reward': 1611.0}
{'t': 158353, 'cum_reward': 1078.0}
{'t': 160811, 'cum_reward': 1516.0}
{'t': 162251, 'cum_reward': 1775.0}
{'t': 163454, 'cum_reward': 2503.0}
{'t': 164611, 'cum_reward': 1889.0}
{'t': 165380, 'cum_reward': 1424.0}
{'t': 167992, 'cum_reward': 2713.0}
{'t': 168710, 'cum_reward': 1320.0}
{'t': 171857, 'cum_reward': 3070.0}
{'t': 172408, 'cum_reward': 1437.0}
{'t': 173612, 'cum_reward': 1147.0}
{'t': 175455, 'cum_reward': 1989.0}
{'t': 176058, 'cum_reward': 1274.0}
{'t': 176349, 'cum_reward': 1031.0}
{'t': 180992, 'cum_reward': 2642.0}
{'t': 183445, 'cum_reward': 3025.0}
{'t': 184598, 'cum_reward': 1179.0}
{'t': 187470, 'cum_reward': 1770.0}
{'t': 189308, 'cum_reward': 889.0}
{'t': 190419, 'cum_reward': 1892.0}
{'t': 191357, 'cum_reward': 1593.0}
{'t': 192451, 'cum_reward': 2073.0}
{'t': 193760, 'cum_reward': 2475.0}
{'t': 194064, 'cum_reward': 876.0}
{'t': 195344, 'cum_reward': 2134.0}
{'t': 195743, 'cum_reward': 970.0}
{'t': 195913, 'cum_reward': 640.0}
{'t': 196410, 'cum_reward': 1127.0}
{'t': 197622, 'cum_reward': 1422.0}
