{'t': 64000, 'eps': 0.9392, 'loss': 59.676346, 'buf_n': 64000, 'cum_reward': None}
{'t': 65000, 'eps': 0.93825, 'loss': 298.90668, 'buf_n': 65000, 'cum_reward': None}
{'t': 66000, 'eps': 0.9373, 'loss': 44.72367, 'buf_n': 66000, 'cum_reward': None}
{'t': 67000, 'eps': 0.93635, 'loss': 72.84902, 'buf_n': 67000, 'cum_reward': None}
{'t': 68000, 'eps': 0.9354, 'loss': 43.69492, 'buf_n': 68000, 'cum_reward': None}
{'t': 69000, 'eps': 0.93445, 'loss': 67.94751, 'buf_n': 69000, 'cum_reward': None}
{'t': 70000, 'eps': 0.9335, 'loss': 63.989517, 'buf_n': 70000, 'cum_reward': None}
{'t': 71000, 'eps': 0.93255, 'loss': 66.90615, 'buf_n': 71000, 'cum_reward': None}
{'t': 72000, 'eps': 0.9316, 'loss': 33.993843, 'buf_n': 72000, 'cum_reward': None}
{'t': 73000, 'eps': 0.93065, 'loss': 72.48068, 'buf_n': 73000, 'cum_reward': None}
{'t': 74000, 'eps': 0.9297, 'loss': 22.63215, 'buf_n': 74000, 'cum_reward': None}
{'t': 75000, 'eps': 0.92875, 'loss': 46.39414, 'buf_n': 75000, 'cum_reward': None}
{'t': 76000, 'eps': 0.9278, 'loss': 28.359108, 'buf_n': 76000, 'cum_reward': None}
{'t': 77000, 'eps': 0.92685, 'loss': 377.90576, 'buf_n': 77000, 'cum_reward': None}
{'t': 78000, 'eps': 0.9259, 'loss': 28.207079, 'buf_n': 78000, 'cum_reward': None}
{'t': 79000, 'eps': 0.92495, 'loss': 65.62324, 'buf_n': 79000, 'cum_reward': None}
{'t': 80000, 'eps': 0.924, 'loss': 124.10106, 'buf_n': 80000, 'cum_reward': None}
{'t': 81000, 'eps': 0.92305, 'loss': 47.746616, 'buf_n': 81000, 'cum_reward': None}
{'t': 82000, 'eps': 0.9221, 'loss': 24.738766, 'buf_n': 82000, 'cum_reward': None}
{'t': 83000, 'eps': 0.92115, 'loss': 26.125244, 'buf_n': 83000, 'cum_reward': None}
{'t': 84000, 'eps': 0.9202, 'loss': 25.534649, 'buf_n': 84000, 'cum_reward': None}
{'t': 85000, 'eps': 0.91925, 'loss': 28.542759, 'buf_n': 85000, 'cum_reward': None}
{'t': 86000, 'eps': 0.9183, 'loss': 21.526802, 'buf_n': 86000, 'cum_reward': None}
{'t': 87000, 'eps': 0.91735, 'loss': 27.411259, 'buf_n': 87000, 'cum_reward': None}
{'t': 88000, 'eps': 0.9164, 'loss': 47.501305, 'buf_n': 88000, 'cum_reward': None}
{'t': 89000, 'eps': 0.91545, 'loss': 19.562061, 'buf_n': 89000, 'cum_reward': None}
{'t': 90000, 'eps': 0.9145, 'loss': 46.950085, 'buf_n': 90000, 'cum_reward': None}
{'t': 91000, 'eps': 0.91355, 'loss': 19.952293, 'buf_n': 91000, 'cum_reward': None}
{'t': 92000, 'eps': 0.9126, 'loss': 53.27764, 'buf_n': 92000, 'cum_reward': None}
{'t': 93000, 'eps': 0.91165, 'loss': 43.992863, 'buf_n': 93000, 'cum_reward': None}
{'t': 94000, 'eps': 0.9107000000000001, 'loss': 45.41452, 'buf_n': 94000, 'cum_reward': None}
{'t': 95000, 'eps': 0.9097500000000001, 'loss': 46.342308, 'buf_n': 95000, 'cum_reward': None}
{'t': 96000, 'eps': 0.9088, 'loss': 22.318214, 'buf_n': 96000, 'cum_reward': None}
{'t': 97000, 'eps': 0.90785, 'loss': 30.314732, 'buf_n': 97000, 'cum_reward': None}
{'t': 98000, 'eps': 0.9069, 'loss': 36.638004, 'buf_n': 98000, 'cum_reward': None}
{'t': 99000, 'eps': 0.90595, 'loss': 49.13198, 'buf_n': 99000, 'cum_reward': None}
{'t': 100000, 'eps': 0.905, 'loss': 44.713966, 'buf_n': 100000, 'cum_reward': None}
{'t': 101000, 'eps': 0.90405, 'loss': 22.921227, 'buf_n': 101000, 'cum_reward': None}
{'t': 102000, 'eps': 0.9031, 'loss': 16.57113, 'buf_n': 102000, 'cum_reward': None}
{'t': 103000, 'eps': 0.90215, 'loss': 36.91553, 'buf_n': 103000, 'cum_reward': None}
{'t': 104000, 'eps': 0.9012, 'loss': 49.177765, 'buf_n': 104000, 'cum_reward': None}
{'t': 105000, 'eps': 0.90025, 'loss': 20.71481, 'buf_n': 105000, 'cum_reward': None}
{'t': 106000, 'eps': 0.8993, 'loss': 21.815369, 'buf_n': 106000, 'cum_reward': None}
{'t': 107000, 'eps': 0.89835, 'loss': 49.824364, 'buf_n': 107000, 'cum_reward': None}
{'t': 108000, 'eps': 0.8974, 'loss': 112.13899, 'buf_n': 108000, 'cum_reward': None}
{'t': 109000, 'eps': 0.89645, 'loss': 25.247772, 'buf_n': 109000, 'cum_reward': None}
{'t': 110000, 'eps': 0.8955, 'loss': 25.942282, 'buf_n': 110000, 'cum_reward': None}
{'t': 111000, 'eps': 0.89455, 'loss': 87.0977, 'buf_n': 111000, 'cum_reward': None}
{'t': 112000, 'eps': 0.8936, 'loss': 31.242458, 'buf_n': 112000, 'cum_reward': None}
{'t': 113000, 'eps': 0.8926499999999999, 'loss': 34.85193, 'buf_n': 113000, 'cum_reward': None}
{'t': 114000, 'eps': 0.8917, 'loss': 21.643341, 'buf_n': 114000, 'cum_reward': None}
{'t': 115000, 'eps': 0.89075, 'loss': 53.61295, 'buf_n': 115000, 'cum_reward': None}
{'t': 116000, 'eps': 0.8898, 'loss': 33.665382, 'buf_n': 116000, 'cum_reward': None}
{'t': 117000, 'eps': 0.88885, 'loss': 65.07075, 'buf_n': 117000, 'cum_reward': None}
{'t': 118000, 'eps': 0.8879, 'loss': 50.488567, 'buf_n': 118000, 'cum_reward': None}
{'t': 119000, 'eps': 0.88695, 'loss': 60.700813, 'buf_n': 119000, 'cum_reward': None}
{'t': 120000, 'eps': 0.886, 'loss': 65.98071, 'buf_n': 120000, 'cum_reward': None}
{'t': 121000, 'eps': 0.88505, 'loss': 277.09772, 'buf_n': 121000, 'cum_reward': None}
{'t': 122000, 'eps': 0.8841, 'loss': 28.485823, 'buf_n': 122000, 'cum_reward': None}
{'t': 123000, 'eps': 0.88315, 'loss': 19.964392, 'buf_n': 123000, 'cum_reward': None}
{'t': 124000, 'eps': 0.8822, 'loss': 219.75945, 'buf_n': 124000, 'cum_reward': None}
{'t': 125000, 'eps': 0.88125, 'loss': 19.48403, 'buf_n': 125000, 'cum_reward': None}
{'t': 126000, 'eps': 0.8803, 'loss': 28.03836, 'buf_n': 126000, 'cum_reward': None}
{'t': 127000, 'eps': 0.87935, 'loss': 37.465767, 'buf_n': 127000, 'cum_reward': None}
{'t': 128000, 'eps': 0.8784, 'loss': 25.379799, 'buf_n': 128000, 'cum_reward': None}
{'t': 129000, 'eps': 0.8774500000000001, 'loss': 32.444317, 'buf_n': 129000, 'cum_reward': None}
{'t': 130000, 'eps': 0.8765000000000001, 'loss': 30.791918, 'buf_n': 130000, 'cum_reward': None}
{'t': 131000, 'eps': 0.87555, 'loss': 45.026527, 'buf_n': 131000, 'cum_reward': None}
{'t': 132000, 'eps': 0.8746, 'loss': 31.035252, 'buf_n': 132000, 'cum_reward': None}
{'t': 133000, 'eps': 0.87365, 'loss': 36.969414, 'buf_n': 133000, 'cum_reward': None}
{'t': 134000, 'eps': 0.8727, 'loss': 57.821434, 'buf_n': 134000, 'cum_reward': None}
{'t': 135000, 'eps': 0.87175, 'loss': 29.714142, 'buf_n': 135000, 'cum_reward': None}
{'t': 136000, 'eps': 0.8708, 'loss': 40.645813, 'buf_n': 136000, 'cum_reward': None}
{'t': 137000, 'eps': 0.86985, 'loss': 62.260452, 'buf_n': 137000, 'cum_reward': None}
{'t': 138000, 'eps': 0.8689, 'loss': 373.00296, 'buf_n': 138000, 'cum_reward': None}
{'t': 139000, 'eps': 0.86795, 'loss': 44.848602, 'buf_n': 139000, 'cum_reward': None}
{'t': 140000, 'eps': 0.867, 'loss': 62.900085, 'buf_n': 140000, 'cum_reward': None}
{'t': 141000, 'eps': 0.86605, 'loss': 55.301327, 'buf_n': 141000, 'cum_reward': None}
{'t': 142000, 'eps': 0.8651, 'loss': 26.454329, 'buf_n': 142000, 'cum_reward': None}
{'t': 143000, 'eps': 0.86415, 'loss': 37.04551, 'buf_n': 143000, 'cum_reward': None}
{'t': 144000, 'eps': 0.8632, 'loss': 26.760315, 'buf_n': 144000, 'cum_reward': None}
{'t': 145000, 'eps': 0.86225, 'loss': 37.481377, 'buf_n': 145000, 'cum_reward': None}
{'t': 146000, 'eps': 0.8613, 'loss': 34.711178, 'buf_n': 146000, 'cum_reward': None}
{'t': 147000, 'eps': 0.86035, 'loss': 43.00627, 'buf_n': 147000, 'cum_reward': None}
{'t': 148000, 'eps': 0.8594, 'loss': 53.214355, 'buf_n': 148000, 'cum_reward': None}
{'t': 149000, 'eps': 0.85845, 'loss': 290.80762, 'buf_n': 149000, 'cum_reward': None}
{'t': 150000, 'eps': 0.8575, 'loss': 26.170229, 'buf_n': 150000, 'cum_reward': None}
{'t': 151000, 'eps': 0.85655, 'loss': 73.540634, 'buf_n': 151000, 'cum_reward': None}
{'t': 152000, 'eps': 0.8556, 'loss': 34.886345, 'buf_n': 152000, 'cum_reward': None}
{'t': 153000, 'eps': 0.85465, 'loss': 25.571096, 'buf_n': 153000, 'cum_reward': None}
{'t': 154000, 'eps': 0.8537, 'loss': 90.33069, 'buf_n': 154000, 'cum_reward': None}
{'t': 155000, 'eps': 0.85275, 'loss': 61.514828, 'buf_n': 155000, 'cum_reward': None}
{'t': 156000, 'eps': 0.8518, 'loss': 27.20726, 'buf_n': 156000, 'cum_reward': None}
{'t': 157000, 'eps': 0.85085, 'loss': 27.473244, 'buf_n': 157000, 'cum_reward': None}
{'t': 158000, 'eps': 0.8499, 'loss': 20.212149, 'buf_n': 158000, 'cum_reward': None}
{'t': 159000, 'eps': 0.84895, 'loss': 98.404144, 'buf_n': 159000, 'cum_reward': None}
{'t': 160000, 'eps': 0.848, 'loss': 25.83772, 'buf_n': 160000, 'cum_reward': None}
{'t': 161000, 'eps': 0.84705, 'loss': 21.742022, 'buf_n': 161000, 'cum_reward': None}
{'t': 162000, 'eps': 0.8461, 'loss': 44.547695, 'buf_n': 162000, 'cum_reward': None}
{'t': 163000, 'eps': 0.8451500000000001, 'loss': 114.55708, 'buf_n': 163000, 'cum_reward': None}
{'t': 164000, 'eps': 0.8442000000000001, 'loss': 25.442722, 'buf_n': 164000, 'cum_reward': None}
{'t': 165000, 'eps': 0.84325, 'loss': 538.5439, 'buf_n': 165000, 'cum_reward': None}
{'t': 166000, 'eps': 0.8423, 'loss': 34.79345, 'buf_n': 166000, 'cum_reward': None}
{'t': 167000, 'eps': 0.84135, 'loss': 38.931923, 'buf_n': 167000, 'cum_reward': None}
{'t': 168000, 'eps': 0.8404, 'loss': 34.654068, 'buf_n': 168000, 'cum_reward': None}
{'t': 169000, 'eps': 0.83945, 'loss': 31.123241, 'buf_n': 169000, 'cum_reward': None}
{'t': 170000, 'eps': 0.8385, 'loss': 29.508595, 'buf_n': 170000, 'cum_reward': None}
{'t': 171000, 'eps': 0.83755, 'loss': 24.88414, 'buf_n': 171000, 'cum_reward': None}
{'t': 172000, 'eps': 0.8366, 'loss': 17.586538, 'buf_n': 172000, 'cum_reward': None}
{'t': 173000, 'eps': 0.83565, 'loss': 24.10445, 'buf_n': 173000, 'cum_reward': None}
{'t': 174000, 'eps': 0.8347, 'loss': 39.141106, 'buf_n': 174000, 'cum_reward': None}
{'t': 175000, 'eps': 0.83375, 'loss': 35.19108, 'buf_n': 175000, 'cum_reward': None}
{'t': 176000, 'eps': 0.8328, 'loss': 22.499268, 'buf_n': 176000, 'cum_reward': None}
{'t': 177000, 'eps': 0.83185, 'loss': 45.033546, 'buf_n': 177000, 'cum_reward': None}
{'t': 178000, 'eps': 0.8309, 'loss': 41.50924, 'buf_n': 178000, 'cum_reward': None}
{'t': 179000, 'eps': 0.82995, 'loss': 55.720737, 'buf_n': 179000, 'cum_reward': None}
{'t': 180000, 'eps': 0.829, 'loss': 112.00741, 'buf_n': 180000, 'cum_reward': None}
