{'t': 378770, 'cum_reward': 1480.0}
{'t': 381320, 'cum_reward': 1161.0}
{'t': 381642, 'cum_reward': 1027.0}
{'t': 385202, 'cum_reward': 1920.0}
{'t': 388590, 'cum_reward': 1366.0}
{'t': 390846, 'cum_reward': 2064.0}
{'t': 393108, 'cum_reward': 1912.0}
{'t': 393528, 'cum_reward': 933.0}
{'t': 394780, 'cum_reward': 1215.0}
{'t': 395386, 'cum_reward': 1038.0}
{'t': 399314, 'cum_reward': 1639.0}
{'t': 400320, 'cum_reward': 1042.0}
{'t': 402793, 'cum_reward': 1502.0}
{'t': 405292, 'cum_reward': 2417.0}
{'t': 405665, 'cum_reward': 929.0}
{'t': 408714, 'cum_reward': 1394.0}
{'t': 412824, 'cum_reward': 1578.0}
{'t': 415803, 'cum_reward': 1307.0}
{'t': 417523, 'cum_reward': 1430.0}
{'t': 417725, 'cum_reward': 587.0}
{'t': 419638, 'cum_reward': 1243.0}
{'t': 423570, 'cum_reward': 1319.0}
{'t': 427144, 'cum_reward': 1237.0}
{'t': 428945, 'cum_reward': 1907.0}
{'t': 429641, 'cum_reward': 1757.0}
{'t': 432435, 'cum_reward': 1568.0}
{'t': 432854, 'cum_reward': 1160.0}
{'t': 435185, 'cum_reward': 1419.0}
{'t': 435576, 'cum_reward': 938.0}
{'t': 435904, 'cum_reward': 958.0}
{'t': 438002, 'cum_reward': 1234.0}
{'t': 440037, 'cum_reward': 977.0}
{'t': 440235, 'cum_reward': 609.0}
{'t': 442795, 'cum_reward': 1213.0}
{'t': 444353, 'cum_reward': 937.0}
{'t': 445316, 'cum_reward': 1528.0}
{'t': 447410, 'cum_reward': 724.0}
{'t': 452218, 'cum_reward': 1687.0}
{'t': 455253, 'cum_reward': 1109.0}
{'t': 455931, 'cum_reward': 1364.0}
{'t': 457040, 'cum_reward': 994.0}
{'t': 458651, 'cum_reward': 1299.0}
{'t': 459975, 'cum_reward': 1366.0}
{'t': 461786, 'cum_reward': 1754.0}
{'t': 463943, 'cum_reward': 622.0}
{'t': 466065, 'cum_reward': 2436.0}
{'t': 468559, 'cum_reward': 928.0}
{'t': 468885, 'cum_reward': 954.0}
{'t': 471321, 'cum_reward': 1830.0}
{'t': 471936, 'cum_reward': 962.0}
{'t': 472577, 'cum_reward': 1748.0}
{'t': 476417, 'cum_reward': 1693.0}
{'t': 479360, 'cum_reward': 1774.0}
{'t': 481805, 'cum_reward': 1224.0}
{'t': 485323, 'cum_reward': 1857.0}
{'t': 489109, 'cum_reward': 1106.0}
{'t': 494426, 'cum_reward': 1328.0}
{'t': 496041, 'cum_reward': 1902.0}
{'t': 499138, 'cum_reward': 1076.0}
{'t': 499755, 'cum_reward': 1497.0}
{'t': 502376, 'cum_reward': 1509.0}
{'t': 503186, 'cum_reward': 1527.0}
{'t': 506089, 'cum_reward': 1641.0}
{'t': 508813, 'cum_reward': 1129.0}
{'t': 509669, 'cum_reward': 1010.0}
{'t': 510290, 'cum_reward': 1506.0}
{'t': 511353, 'cum_reward': 1983.0}
{'t': 511549, 'cum_reward': 568.0}
{'t': 512307, 'cum_reward': 1783.0}
{'t': 512886, 'cum_reward': 1504.0}
{'t': 513255, 'cum_reward': 960.0}
{'t': 514115, 'cum_reward': 1988.0}
{'t': 514796, 'cum_reward': 1796.0}
{'t': 516925, 'cum_reward': 2189.0}
{'t': 520303, 'cum_reward': 1925.0}
{'t': 521284, 'cum_reward': 2074.0}
{'t': 521904, 'cum_reward': 1518.0}
{'t': 524121, 'cum_reward': 2541.0}
{'t': 524994, 'cum_reward': 1336.0}
{'t': 526591, 'cum_reward': 2848.0}
{'t': 527440, 'cum_reward': 1298.0}
{'t': 528675, 'cum_reward': 1472.0}
{'t': 529411, 'cum_reward': 2158.0}
{'t': 530086, 'cum_reward': 1116.0}
{'t': 531353, 'cum_reward': 1875.0}
{'t': 532319, 'cum_reward': 1641.0}
{'t': 533877, 'cum_reward': 1531.0}
{'t': 534556, 'cum_reward': 1376.0}
{'t': 535867, 'cum_reward': 3009.0}
{'t': 536856, 'cum_reward': 1902.0}
{'t': 540071, 'cum_reward': 2440.0}
{'t': 540851, 'cum_reward': 1298.0}
{'t': 541424, 'cum_reward': 1178.0}
{'t': 543225, 'cum_reward': 2426.0}
{'t': 543480, 'cum_reward': 1026.0}
{'t': 545271, 'cum_reward': 1459.0}
{'t': 546468, 'cum_reward': 1887.0}
{'t': 548212, 'cum_reward': 1974.0}
{'t': 549472, 'cum_reward': 1782.0}
{'t': 550299, 'cum_reward': 1708.0}
{'t': 550555, 'cum_reward': 1078.0}
{'t': 551804, 'cum_reward': 1921.0}
{'t': 552237, 'cum_reward': 1410.0}
{'t': 555849, 'cum_reward': 1617.0}
{'t': 556809, 'cum_reward': 1861.0}
{'t': 557132, 'cum_reward': 1410.0}
{'t': 557937, 'cum_reward': 2075.0}
{'t': 558888, 'cum_reward': 1550.0}
{'t': 559882, 'cum_reward': 2084.0}
{'t': 562273, 'cum_reward': 2907.0}
{'t': 562710, 'cum_reward': 1430.0}
{'t': 563675, 'cum_reward': 2152.0}
{'t': 565295, 'cum_reward': 2425.0}
{'t': 565768, 'cum_reward': 1391.0}
{'t': 566367, 'cum_reward': 1528.0}
{'t': 568098, 'cum_reward': 2145.0}
{'t': 569340, 'cum_reward': 2414.0}
{'t': 570389, 'cum_reward': 1393.0}
{'t': 571254, 'cum_reward': 1652.0}
{'t': 574303, 'cum_reward': 1352.0}
{'t': 574854, 'cum_reward': 1771.0}
{'t': 575779, 'cum_reward': 1665.0}
{'t': 576197, 'cum_reward': 1407.0}
{'t': 576662, 'cum_reward': 1362.0}
{'t': 578165, 'cum_reward': 1214.0}
{'t': 580028, 'cum_reward': 2025.0}
{'t': 580469, 'cum_reward': 1155.0}
{'t': 581740, 'cum_reward': 2956.0}
{'t': 582046, 'cum_reward': 1435.0}
{'t': 583305, 'cum_reward': 2004.0}
{'t': 585001, 'cum_reward': 2229.0}
{'t': 586295, 'cum_reward': 1912.0}
{'t': 587333, 'cum_reward': 2205.0}
{'t': 588258, 'cum_reward': 1939.0}
{'t': 588734, 'cum_reward': 1416.0}
{'t': 589041, 'cum_reward': 1019.0}
{'t': 590476, 'cum_reward': 2285.0}
{'t': 590925, 'cum_reward': 912.0}
{'t': 591123, 'cum_reward': 609.0}
{'t': 591988, 'cum_reward': 1538.0}
{'t': 592940, 'cum_reward': 1771.0}
{'t': 593081, 'cum_reward': 654.0}
{'t': 593544, 'cum_reward': 970.0}
{'t': 595161, 'cum_reward': 1366.0}
